Hole,Position,Latitude,Longitude
1,Tee Block,45.34616103620428,-79.14535801798596
1,Green Center,45.3443222916284,-79.14852083567796
2,Tee Block,45.34398102863268,-79.14943993587053
2,Green Center,45.34311671149175,-79.14464895988188
3,Tee Block,45.342559040427574,-79.14457368654315
3,Green Center,45.34306720909093,-79.14238132649747
4,Tee Block,45.342153238850436,-79.14239465378142
4,Green Center,45.341312234785775,-79.1389537176389
5,Tee Block,45.34094504833668,-79.13863108701688
5,Green Center,45.33897677364309,-79.14450043083217
6,Tee Block,45.33907426559279,-79.14531823871374
6,Green Center,45.34191249016493,-79.1428569497976
7,Tee Block,45.34239991398666,-79.1447426024231
7,Green Center,45.34324969895713,-79.15030512509948
8,Tee Block,45.343859241949744,-79.15093831389868
8,Green Center,45.34518335653074,-79.15280679202314
9,Tee Block,45.345497803328975,-79.15132153707968
9,Green Center,45.34655086516202,-79.14703617024507
10,Tee Block,45.347316997409024,-79.14429922284117
10,Green Center,45.34961056181364,-79.14032469771445
11,Tee Block,45.3498078597367,-79.13939286277414
11,Green Center,45.353034175006364,-79.1382612876836
12,Tee Block,45.353614889473675,-79.13856608379822
12,Green Center,45.353105669806425,-79.1407678630912
13,Tee Block,45.35269133539527,-79.1418913065636
13,Green Center,45.35539559784702,-79.14144423280938
14,Tee Block,45.355011913301205,-79.14257118051609
14,Green Center,45.35190927644294,-79.1455617675153
15,Tee Block,45.35145249385614,-79.14526171854538
15,Green Center,45.349451100924675,-79.14778290586527
16,Tee Block,45.349810757624006,-79.14829734208942
16,Green Center,45.34757966849906,-79.15089998378599
17,Tee Block,45.34656124625057,-79.1510667030502
17,Green Center,45.34531092168978,-79.1527587352176
18,Tee Block,45.34588458183412,-79.15103725364635
18,Green Center,45.347380532587316,-79.14575116111246
